Date ,TrialType,TrialNumber,SubstrateType,UrchinType,UrchinNumber,UrchinCode,UrchinSize,Spine1,Spine2,Spine3,Spine4,Spine5,TagType/Nickname,Left(1)DidNotLeave(0),RawTimeLeftBrick(s),VideoSpeed (x),TimeToLeaveBrick_ modified (s),TimeToLeaveBrick_ modified (minutes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Nonpit,1,Control-1_Sand-Nonpit1,8.2,11,11,12,13,14,White_circle,0,DNL,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Nonpit,2,Control-1_Sand-Nonpit2,6.9,10,9,10,12,12,Lightblue_circle,1,714,5,3570,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Nonpit,3,Control-1_Sand-Nonpit3,7.2,12,9,11,11,13,Purple_circle,1,627,5,3135,52.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Pit,1,Control-1_Sand-Pit1,7,8,10,10,9,6,Green_flower,1,,5,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Pit,2,Control-1_Sand-Pit2,6,4,4,4,5,5,Pink_flower,0,DNL,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Pit,3,Control-1_Sand-Pit3,7.4,8,11,9,12,10,Blue_flower,0,DNL,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Nonpit,1,Control-1_Mixed-Nonpit1,6.8,14,10,11,11,13,Lightpink_circle,0,DNL,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Nonpit,2,Control-1_Mixed-Nonpit2,6.8,13,14,13,12,11,Lightblue_circle,1,810,5,4050,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Nonpit,3,Control-1_Mixed-Nonpit3,5.3,7,8,8,8,10,Purple_circle,1,785,5,3925,65.41666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Pit,1,Control-1_Mixed-Pit1,5.3,9,10,9,8,9,Red_flower,1,165,5,825,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Pit,2,Control-1_Mixed-Pit2,4.4,6,6,5,6,6,Yellow_flower,1,1030,5,5150,85.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Pit,3,Control-1_Mixed-Pit3,5.8,10,7,8,10,9,Green_flower,1,328,5,1640,27.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Nonpit,1,Control-1_Cobble-Nonpit1,6.8,10,9,12,11,11,White_circle,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Nonpit,2,Control-1_Cobble-Nonpit2,7.3,12,14,14,14,13,Lightblue_circle,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Nonpit,3,Control-1_Cobble-Nonpit3,6,7,9,9,10,10,Grey_circle,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Pit,1,Control-1_Cobble-Pit1,6.3,9,11,11,10,10,Pink_flower,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Pit,2,Control-1_Cobble-Pit2,5.4,11,9,7,9,10,Cream_flower,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Pit,3,Control-1_Cobble-Pit3,6.6,10,11,11,13,12,Blue_flower,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Nonpit,1,Control-2_Sand-Nonpit1,7.1,7,7,7,6,8,Orange_circle,0,DNL,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Nonpit,2,Control-2_Sand-Nonpit2,7.2,9,9,10,12,10,Blue_circle,0,DNL,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Nonpit,3,Control-2_Sand-Nonpit3,6,6,9,7,10,11,Purple_circle,1,231,15,3465,57.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Pit,1,Control-2_Sand-Pit1,7,9,5,9,9,7,Green_flower,0,DNL,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Pit,2,Control-2_Sand-Pit2,6.4,11,11,10,10,12,White_flower,0,DNL,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Pit,3,Control-2_Sand-Pit3,5.6,7,7,6,9,11,Orange_flower,1,38,15,570,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Nonpit,1,Control-2_Mixed-Nonpit1,7.3,10,8,9,10,10,Purple_circle,0,DNL,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Nonpit,2,Control-2_Mixed-Nonpit2,6.1,9,10,7,9,7,Blue_circle,1,63,15,945,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Nonpit,3,Control-2_Mixed-Nonpit3,6.1,5,8,8,8,7,Orange_circle,1,75,15,1125,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Pit,1,Control-2_Mixed-Pit1,6.6,10,10,10,10,9,Purple_flower,1,175,15,2625,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Pit,2,Control-2_Mixed-Pit2,5.9,11,8,8,8,10,Red_flower,1,56,15,840,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Pit,3,Control-2_Mixed-Pit3,6,6,7,6,6,6,Yellow_flower,1,48,15,720,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
